celebrity_name,season,season_rule,placement,results,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week1_total_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week2_total_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week3_total_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week4_total_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week5_total_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week6_total_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week7_total_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week8_total_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week9_total_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week10_total_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week11_total_score
Cody Linley,7,Percentage,4,Eliminated Week 9,7.0,6.5,7.0,,20.5,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,7.0,8.0,8.0,,23.0,10.0,9.0,9.0,,28.0,8.0,8.0,7.0,,23.0,8.0,7.0,7.0,,22.0,8.0,8.0,8.0,,24.0,8.0,7.5,7.5,,23.0,0.0,0.0,0.0,,0.0,,,,,0.0
Misty May-Treanor,7,Percentage,10,Withdrew,6.5,7.5,7.0,,21.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Maurice Greene,7,Percentage,5,Eliminated Week 8,6.5,6.5,6.5,,19.5,7.0,6.0,6.0,,19.0,8.0,8.0,8.0,,24.0,6.0,7.0,7.0,,20.0,9.0,9.0,9.0,,27.0,7.0,7.0,7.0,,21.0,8.0,9.0,8.0,,25.0,8.0,8.0,8.0,,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Warren Sapp,7,Percentage,2,2nd Place,7.0,7.0,7.5,,21.5,8.0,8.0,8.0,,24.0,9.0,8.0,8.0,,25.0,8.0,7.0,7.0,,22.0,8.0,8.0,9.0,,25.0,8.0,9.0,8.0,,25.0,7.0,7.0,7.0,,21.0,9.5,8.5,9.0,,27.0,8.5,8.0,8.0,,24.5,9.0,9.5,9.0,,27.5,,,,,0.0
Jeffrey Ross,7,Percentage,13,Eliminated Week 1,4.0,4.0,4.0,,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Toni Braxton,7,Percentage,8,Eliminated Week 5,7.5,7.0,8.0,,22.5,7.0,8.0,8.0,,23.0,8.0,7.0,7.0,,22.0,7.0,7.0,8.0,,22.0,7.0,7.0,8.0,,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Lance Bass,7,Percentage,3,3rd Place,7.5,6.0,8.0,,21.5,7.0,6.0,7.0,,20.0,8.0,7.0,7.0,,22.0,9.0,8.0,9.0,,26.0,7.0,7.0,7.0,,21.0,9.0,9.0,9.0,,27.0,9.0,7.0,9.0,,25.0,8.5,7.5,9.0,,25.0,10.0,9.0,9.5,,28.5,9.0,9.0,9.5,,27.5,,,,,0.0
Kim Kardashian,7,Percentage,11,Eliminated Week 2,6.0,6.5,6.0,,18.5,6.0,6.0,5.0,,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Rocco DiSpirito,7,Percentage,9,Eliminated Week 4,6.0,5.5,6.0,,17.5,5.0,6.0,5.0,,16.0,7.0,7.0,6.0,,20.0,6.0,6.0,6.0,,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Brooke Burke,7,Percentage,1,1st Place,8.0,8.0,8.5,,24.5,8.0,8.0,8.0,,24.0,9.0,10.0,9.0,,28.0,9.0,8.0,9.0,,26.0,10.0,9.0,10.0,,29.0,8.0,10.0,8.0,,26.0,10.0,10.0,10.0,,30.0,9.5,8.5,9.5,,27.5,8.0,8.5,8.0,,24.5,10.0,10.0,10.0,,30.0,,,,,0.0
Gilles Marini,8,Percentage,2,2nd Place,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,9.0,9.0,9.0,,27.0,10.0,10.0,10.0,,30.0,10.0,9.0,10.0,,29.0,9.0,8.0,9.0,,26.0,9.0,9.0,9.0,,27.0,9.0,9.0,9.5,,27.5,9.5,9.0,9.5,,28.0,10.0,10.0,10.0,,30.0,9.5,10.0,9.5,,29.0
Denise Richards,8,Percentage,12,Eliminated Week 3,6.0,6.0,6.0,,18.0,7.0,7.0,7.0,,21.0,5.0,6.0,5.0,,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
David Alan Grier,8,Percentage,9,Eliminated Week 5,6.0,7.0,6.0,,19.0,6.0,5.0,6.0,,17.0,8.0,8.0,8.0,,24.0,8.0,7.0,7.0,,22.0,7.0,8.0,7.0,,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
Lawrence Taylor,8,Percentage,7,Eliminated Week 7,6.0,5.0,5.0,,16.0,7.0,6.0,7.0,,20.0,7.0,6.0,7.0,,20.0,7.0,5.0,7.0,,19.0,6.0,7.0,7.0,,20.0,7.0,7.0,8.0,,22.0,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
Ty Murray,8,Percentage,4,Eliminated Week 10,5.0,4.0,5.0,,14.0,7.0,6.0,7.0,,20.0,8.0,8.0,7.0,,23.0,9.0,8.0,8.0,,25.0,7.0,7.0,7.0,,21.0,6.0,6.0,6.0,,18.0,8.0,8.0,8.0,,24.0,9.0,8.0,9.0,,26.0,7.5,8.0,7.5,,23.0,8.0,8.0,8.0,,24.0,0.0,0.0,0.0,,0.0
Shawn Johnson,8,Percentage,1,1st Place,8.0,8.0,7.0,,23.0,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,8.0,8.0,9.0,,25.0,9.0,8.0,9.0,,26.0,8.0,9.0,9.0,,26.0,9.0,9.0,10.0,,28.0,9.0,8.0,9.0,,26.0,9.5,9.0,9.5,,28.0,9.5,9.0,9.5,,28.0,10.0,10.0,10.0,,30.0
Steve Wozniak,8,Percentage,10,Eliminated Week 4,5.0,4.0,4.0,,13.0,6.0,5.0,6.0,,17.0,4.0,3.0,3.0,,10.0,4.0,4.0,4.0,,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
Belinda Carlisle,8,Percentage,13,Eliminated Week 2,6.0,6.0,5.0,,17.0,6.0,6.0,6.0,,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
Chuck Wicks,8,Percentage,6,Eliminated Week 8,6.0,7.0,7.0,,20.0,6.0,7.0,7.0,,20.0,8.0,7.0,8.0,,23.0,8.0,7.0,7.0,,22.0,7.0,8.0,8.0,,23.0,8.0,7.0,8.0,,23.0,9.0,9.0,9.0,,27.0,8.5,8.5,8.5,,25.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
Lil' Kim,8,Percentage,5,Eliminated Week 9,7.0,7.0,7.0,,21.0,8.0,7.0,8.0,,23.0,8.0,8.0,9.0,,25.0,9.0,8.0,10.0,,27.0,9.0,8.0,9.0,,26.0,10.0,8.0,10.0,,28.0,9.0,8.0,9.0,,26.0,9.0,9.0,10.0,,28.0,8.5,9.0,8.5,,26.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
Steve-O,8,Percentage,8,Eliminated Week 6,6.0,5.0,6.0,,17.0,5.0,4.0,5.0,,14.0,5.0,5.0,5.0,,15.0,5.0,5.0,5.0,,15.0,6.0,6.0,6.0,,18.0,7.0,4.0,5.0,,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
Holly Madison,8,Percentage,11,Eliminated Week 4,6.0,6.0,6.0,,18.0,6.0,6.0,6.0,,18.0,5.0,6.0,6.0,,17.0,5.0,6.0,5.0,,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
Melissa Rycroft,8,Percentage,3,3rd Place,8.0,7.0,8.0,,23.0,9.0,8.0,9.0,,26.0,9.0,9.0,9.0,,27.0,10.0,9.0,10.0,,29.0,8.0,8.0,9.0,,25.0,9.0,9.0,9.0,,27.0,10.0,9.0,10.0,,29.0,7.5,7.5,8.0,,23.0,9.5,9.5,9.5,,28.5,9.0,9.5,9.0,,27.5,9.5,9.5,9.5,,28.5
Ashley Hamiliton,9,Percentage,16,Eliminated Week 1,6.3333,7.3333,5.3333,,18.9999,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Debi Mazar,9,Percentage,12,Eliminated Week 3,8.0,7.0,7.0,,22.0,7.0,7.0,7.0,,21.0,6.0,5.0,6.0,,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Melissa Joan Hart,9,Percentage,9,Eliminated Week 6,8.0,8.0,8.0,,24.0,7.0,6.0,6.0,,19.0,6.0,6.0,7.0,,19.0,9.0,9.0,10.0,,28.0,8.0,8.0,7.0,,23.0,8.3333,8.3333,7.3333,,23.9999,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Mark Dacascos,9,Percentage,6,Eliminated Week 7,9.6666,9.6666,9.6666,,28.9998,7.0,7.0,7.0,,21.0,6.0,6.0,6.0,,18.0,8.0,7.0,7.0,,22.0,9.0,9.0,8.0,,26.0,11.0,11.0,10.0,,32.0,7.0,7.5,7.0,,21.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Chuck Liddell,9,Percentage,11,Eliminated Week 4,8.0,7.0,7.0,,22.0,6.0,7.0,6.0,,19.0,6.0,5.0,6.0,,17.0,6.0,5.0,6.0,,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Natalie Coughlin,9,Percentage,10,Eliminated Week 5,9.6666,8.6666,8.6666,,26.9998,7.0,7.0,7.0,,21.0,9.0,8.0,9.0,,26.0,8.0,8.0,8.0,,24.0,7.0,8.0,7.0,,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Louie Vito,9,Percentage,8,Eliminated Week 6,8.6666,9.6666,8.6666,,26.9998,6.0,7.0,6.0,,19.0,8.0,5.0,7.0,,20.0,5.0,5.0,6.0,,16.0,7.0,8.0,7.0,,22.0,8.0,8.0,8.0,,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Michael Irvin,9,Percentage,7,Eliminated Week 7,7.0,6.0,6.0,,19.0,7.0,7.0,6.0,,20.0,5.0,4.0,5.0,,14.0,5.0,6.0,5.0,,16.0,7.0,7.0,7.0,,21.0,6.6666,8.6666,6.6666,,21.9998,8.0,8.0,7.5,,23.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Joanna Krupa,9,Percentage,4,Eliminated Week 9,11.3333,11.3333,11.3333,,33.9999,6.0,7.0,7.0,,20.0,7.0,8.0,8.0,,23.0,9.0,8.0,9.0,,26.0,8.0,8.0,8.0,,24.0,11.3333,12.3333,12.3333,,35.9999,9.0,9.0,9.5,,27.5,8.5,8.5,9.0,,26.0,9.0,9.0,9.0,,27.0,0.0,0.0,0.0,,0.0,,,,,0.0
Kathy Ireland,9,Percentage,14,Eliminated Week 2,7.3333,6.3333,6.3333,,19.9999,6.0,6.0,6.0,,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Tom DeLay,9,Percentage,13,Withdrew,7.3333,6.3333,6.3333,,19.9999,6.0,6.0,6.0,,18.0,6.0,4.0,5.0,,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Macy Gray,9,Percentage,15,Eliminated Week 1,7.3333,5.3333,6.3333,,18.9999,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Aaron Carter,9,Percentage,5,Eliminated Week 8,10.3333,11.3333,10.3333,,31.999899999999997,9.0,9.0,9.0,,27.0,8.0,6.0,7.0,,21.0,6.0,6.0,6.0,,18.0,8.0,8.0,8.0,,24.0,10.6666,11.6666,10.6666,,32.9998,8.5,9.0,9.0,,26.5,8.0,8.5,8.5,,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Mya,9,Percentage,2,2nd Place,11.3333,8.3333,11.3333,,30.999899999999997,9.0,9.0,9.0,,27.0,10.0,7.0,10.0,,27.0,10.0,8.0,10.0,,28.0,9.0,9.0,9.0,,27.0,11.0,10.0,12.0,,33.0,8.5,7.5,8.5,,24.5,9.5,10.0,10.0,,29.5,9.3333,9.6666,10.0,,28.9999,9.4444,9.4444,9.4444,,28.333199999999998,,,,,0.0
Donny Osmond,9,Percentage,1,1st Place,10.3333,9.3333,10.3333,,29.999899999999997,8.0,9.0,8.0,,25.0,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,10.0,9.0,10.0,,29.0,10.3333,10.3333,10.3333,,30.999899999999997,8.5,8.5,9.0,,26.0,8.5,8.0,8.5,,25.0,8.0,8.3333,8.3333,,24.666600000000003,9.6666,9.6666,9.6666,,28.9998,,,,,0.0
Kelly Osbourne,9,Percentage,3,3rd Place,9.6666,10.6666,10.6666,,30.9998,6.0,7.0,6.0,,19.0,7.0,6.0,7.0,,20.0,8.0,7.0,8.0,,23.0,8.0,8.0,8.0,,24.0,8.6666,7.6666,8.6666,,24.9998,8.5,8.5,9.0,,26.0,8.0,8.5,9.0,,25.5,8.6666,8.6666,8.6666,,25.9998,8.5,8.5,8.2222,,25.2222,,,,,0.0
Aiden Turner,10,Percentage,9,Eliminated Week 4,5.0,5.0,5.0,,15.0,7.0,6.0,6.0,,19.0,7.0,6.0,7.0,,20.0,5.5,5.5,5.5,,16.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Shannen Doherty,10,Percentage,11,Eliminated Week 2,6.0,6.0,6.0,,18.0,7.0,6.0,7.0,,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Niecy Nash,10,Percentage,5,Eliminated Week 8,7.0,5.0,6.0,,18.0,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,6.0,6.0,6.0,,18.0,6.0,6.0,6.0,,18.0,8.6666,8.6666,8.6666,,25.9998,8.5,8.0,8.0,,24.5,7.0,7.0,7.5,,21.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Buzz Aldrin,10,Percentage,10,Eliminated Week 3,5.0,4.0,5.0,,14.0,4.0,4.0,4.0,,12.0,5.0,4.0,4.0,,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Chad Ochocinco,10,Percentage,4,Eliminated Week 9,6.0,6.0,6.0,,18.0,6.0,5.0,5.0,,16.0,7.0,6.0,7.0,,20.0,7.5,6.5,8.0,,22.0,6.0,6.0,6.0,,18.0,10.3333,10.3333,10.3333,,30.999899999999997,8.5,9.0,8.5,,26.0,7.5,7.5,7.5,,22.5,8.5,8.5,9.0,,26.0,0.0,0.0,0.0,,0.0,,,,,0.0
Evan Lysacek,10,Percentage,2,2nd Place,8.0,7.0,8.0,,23.0,8.0,8.0,8.0,,24.0,9.0,8.0,9.0,,26.0,9.0,8.0,9.0,,26.0,9.0,9.0,9.0,,27.0,9.0,9.0,9.0,,27.0,9.0,9.0,9.0,,27.0,9.0,8.5,9.0,,26.5,10.0,9.5,10.0,,29.5,9.3333,8.7777,8.7777,,26.888699999999996,,,,,0.0
Pamela Anderson,10,Percentage,6,Eliminated Week 7,7.0,6.0,8.0,,21.0,7.0,7.0,8.0,,22.0,7.0,7.0,7.0,,21.0,7.5,7.5,8.5,,23.5,7.0,6.0,8.0,,21.0,9.6666,9.6666,10.6666,,29.9998,8.5,8.5,8.5,,25.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Nicole Scherzinger,10,Percentage,1,1st Place,9.0,7.0,9.0,,25.0,10.0,8.0,10.0,,28.0,8.0,6.0,9.0,,23.0,8.5,8.0,8.5,,25.0,10.0,9.0,10.0,,29.0,12.3333,10.3333,13.3333,,35.9999,9.0,9.0,9.0,,27.0,10.0,9.5,10.0,,29.5,10.0,9.5,10.0,,29.5,9.5,9.5,9.7777,,28.7777,,,,,0.0
Erin Andrews,10,Percentage,3,3rd Place,7.0,7.0,7.0,,21.0,8.0,7.0,8.0,,23.0,8.0,7.0,8.0,,23.0,6.5,6.5,6.5,,19.5,7.0,7.0,8.0,,22.0,12.0,10.0,12.0,,34.0,8.5,8.5,8.5,,25.5,8.5,9.0,9.0,,26.5,9.5,9.0,9.5,,28.0,9.2222,8.8888,8.8888,,26.9998,,,,,0.0
Kate Gosselin,10,Percentage,8,Eliminated Week 5,6.0,5.0,5.0,,16.0,5.0,5.0,5.0,,15.0,5.0,5.0,5.0,,15.0,5.0,5.5,5.5,,16.0,5.0,5.0,5.0,,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Jake Pavelka,10,Percentage,7,Eliminated Week 6,7.0,6.0,7.0,,20.0,6.0,7.0,7.0,,20.0,7.0,7.0,7.0,,21.0,6.5,6.5,6.0,,19.0,8.0,7.0,8.0,,23.0,8.3333,8.3333,8.3333,,24.999899999999997,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
David Hasselhoff,11,Percentage,12,Eliminated Week 1,5.0,5.0,5.0,,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Florence Henderson,11,Percentage,8,Eliminated Week 5,6.0,6.0,6.0,,18.0,7.0,6.0,6.0,,19.0,7.0,6.0,7.0,,20.0,6.0,6.0,5.5,,17.5,7.0,7.0,7.0,,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Kyle Massey,11,Percentage,2,2nd Place,8.0,7.0,8.0,,23.0,8.0,7.0,7.0,,22.0,8.0,7.0,8.0,,23.0,7.0,6.5,6.5,,20.0,8.0,5.0,7.0,,20.0,10.3333,9.3333,10.3333,,29.999899999999997,9.0,8.5,8.0,8.0,33.5,9.5,9.0,9.5,,28.0,10.0,9.0,10.0,,29.0,9.3333,8.6666,9.3333,,27.333199999999998,,,,,0.0
Jennifer Grey,11,Percentage,1,1st Place,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,9.5,9.0,9.5,,28.0,8.0,8.0,9.0,,25.0,9.0,10.0,10.0,,29.0,9.5,9.0,9.0,9.0,36.5,9.5,9.5,9.5,,28.5,10.0,10.0,10.0,,30.0,10.0,10.0,10.0,,30.0,,,,,0.0
Rick Fox,11,Percentage,6,Eliminated Week 7,8.0,7.0,7.0,,22.0,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,6.0,7.0,6.5,,19.5,8.0,8.0,8.0,,24.0,10.0,10.0,10.0,,30.0,9.0,8.5,8.5,8.5,34.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Kurt Warner,11,Percentage,5,Eliminated Week 8,7.0,5.0,7.0,,19.0,7.0,7.0,7.0,,21.0,8.0,8.0,7.0,,23.0,6.0,5.5,5.5,,17.0,8.0,8.0,8.0,,24.0,7.3333,7.3333,7.3333,,21.9999,9.5,8.5,8.5,8.5,35.0,8.0,8.0,8.0,,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Margaret Cho,11,Percentage,10,Eliminated Week 3,5.0,5.0,5.0,,15.0,6.0,6.0,6.0,,18.0,6.0,6.0,6.0,,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Michael Bolton,11,Percentage,11,Eliminated Week 2,6.0,5.0,5.0,,16.0,4.0,5.0,3.0,,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Brandy,11,Percentage,4,Eliminated Week 9,7.0,8.0,8.0,,23.0,7.0,7.0,7.0,,21.0,8.0,8.0,8.0,,24.0,8.0,8.0,8.0,,24.0,9.0,9.0,9.0,,27.0,11.3333,12.3333,12.3333,,35.9999,9.0,9.0,9.5,9.0,36.5,9.0,9.5,10.0,,28.5,9.5,9.5,9.5,,28.5,0.0,0.0,0.0,,0.0,,,,,0.0
The Situation,11,Percentage,9,Eliminated Week 4,5.0,5.0,5.0,,15.0,6.0,6.0,6.0,,18.0,7.0,6.0,7.0,,20.0,5.0,4.5,4.5,,14.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Audrina Patridge,11,Percentage,7,Eliminated Week 6,6.0,7.0,6.0,,19.0,8.0,8.0,7.0,,23.0,8.0,9.0,9.0,,26.0,8.0,7.5,7.5,,23.0,7.0,8.0,8.0,,23.0,10.6666,10.6666,10.6666,,31.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Bristol Palin,11,Percentage,3,3rd Place,6.0,6.0,6.0,,18.0,7.0,8.0,7.0,,22.0,6.0,6.0,7.0,,19.0,5.0,5.5,5.5,,16.0,6.0,6.0,6.0,,18.0,9.6666,8.6666,9.6666,,27.9998,8.5,8.0,8.0,8.0,32.5,7.5,8.0,8.0,,23.5,8.5,9.0,9.0,,26.5,8.3333,9.0,8.3333,,25.666600000000003,,,,,0.0
Ralph Macchio,12,Percentage,4,Eliminated Week 9,8.0,8.0,8.0,,24.0,7.0,7.0,7.0,,21.0,7.0,7.0,7.0,,21.0,8.0,8.0,9.0,,25.0,8.0,7.0,7.0,,22.0,8.0,8.0,8.0,,24.0,9.0,8.5,7.5,8.0,33.0,7.5,7.5,8.0,,23.0,8.0,8.0,8.0,,24.0,0.0,0.0,0.0,,0.0,,,,,0.0
Chelsea Kane,12,Percentage,3,3rd Place,7.0,7.0,7.0,,21.0,6.0,5.0,7.0,,18.0,7.0,8.0,8.0,,23.0,9.0,8.0,9.0,,26.0,9.0,8.0,9.0,,26.0,10.0,9.0,9.0,,28.0,8.0,8.5,7.5,8.0,32.0,9.0,9.0,9.5,,27.5,12.0,12.0,12.5,,36.5,10.0,9.6666,10.0,,29.666600000000003,,,,,0.0
